artist_id,artist_name,artist_subname,artist_id_melon,artist_id_genie,artist_id_youtubemusic,artist_id_spotify,artist_id_instagram,artist_id_youtube,artist_id_x
40,모스크바서핑클럽,,2922108,81049839,OLAK5uy_mCXH9NJzDaClloE7IR7JIS19jN4E1Z1uY,72RQExfl8kYY207YfKV5Nl?si=2g85Xe6aRU6r9i4Uw1uHVA,mosuclofficial,UCWq8gDnqYyOgBRgXLKVWt9Q,mosuclofficial
41,모허,,3832609,82541452,,7FPhKVHFqU4Er6VxA1fw3w?si=1FZJhlUKRF-hPTmWyfzudg,moher_____,UCaYfhQKNRJCGILG41FZYWng,
42,미역수염,Seaweed Mustache,966947,80517063,OLAK5uy_kWCnbe6hJawkMoBM0QxBoDUxhK7gmU3Mo,5el08x2OR7VTWMLPE3DsJB?si=Z0-zkZ_mRVSQlxqCFaqQpg,seaweedmustache,UCrWOGjW6CiQSf8YJuEq8WZg,
43,바밍타이거,Balming Tiger,2191717,80639974,OLAK5uy_nkP0Mwn7QaqaTbQYjes5wwYIorjA2iRH8,6vbKIm1WsvhMMDpthYONc1?si=mx69P6yVTVSVCPaFE_cpaQ,balmingtiger,UCbBzKnCYcG7E3EIkSTdsawA,balmingtiger
44,바비핀스,Bobby Pins,1958033,80598857,OLAK5uy_m02dgCquuEpl9YZuaNNX6g8mmEONoLPrM,3IVOVMBeLoJNgb6hGh7OcM?si=sSL4Z2NpTAOlEWNtEpYtIw,bobbypinsband,UCVXT0yzoOzsRlM16yUaoEng,
45,박소은,Park Soeun,1273981,80557978,OLAK5uy_kiLVfHbx1K9E6A19HKS_T6fAN69ORShBA,20gFWTh2tofhLIjyn2fHeG?si=5BhSomMnTaSSk2ViSU9Snw,singersoeunwriter_,,
46,베이루트택시,Beirut Taxi,3105934,81446278,OLAK5uy_nUl-dsXdBpOZ1F3oHDILc7thdp8q1xYqY,2ZJXX8yQiCD6Y2xEQylUCl?si=VrsrvpsWQQazxFiYgA_ZHA,brtx_band,,
47,보수동쿨러,Bosudong Cooler,2137328,80630520,OLAK5uy_mG9ylN__IgTpZJHToiFYpwkNWx3egLlB4,7zhojNyxff5HeS5mIgUVmU?si=J8ItftcGSpOS4REpTa1qug,bosudongcooler,UCkAFS69ruryNZvUcGrASBOA,bosudongcooler
48,봉제인간,,3177986,81666446,OLAK5uy_lL2twefmQdqG7qpo5FJPQRJpOYKtZeJyY,3zyq3DzSd4aue9Q7s1qMVu?si=WztnmK-pSlCeoPFKzfxMjg,bongjeingan,UCWC2wCSd6J1yEdldgg6Ea2w,bongjeingann
49,브로콜리너마저,,230490,53890214,OLAK5uy_nxxa65v864atlPy2FuE4EZCI7iVmKFd48,1gq4XavqmZhqOzEkpFBz1j?si=kh-KaOzsRJSYPIuI7GrQeg,band_broccoliyoutoo,UCD2RROBx9kIgD1viivBRk2Q,studiobroccoli
50,브로큰 발렌타인,Broken Valentine,447701,79989592,OLAK5uy_kc_AM4bZIMFrX7aNLu612GJOya5I3vjNA,0rgwglSz7K4UVYUQ1svx1E?si=vZybDo1wQtuKOaB22w0A7g,brokenvalentine_official,UCcaU6fOWsWQHg6wnW6HyG4Q,bvlabel
51,비비,BIBI,2403002,80667991,OLAK5uy_nPRPtWzmU8irEeAt2OBsMVlcnEijsmPPM,6UbmqUEgjLA6jAcXwbM1Z9?si=SKaFrtkwQ8uk7vnjCTw33w,nakedbibi,UC8GmeiLd5xjh2j5VmdePWQw,nakedbibi
52,새소년,,1221461,80549161,OLAK5uy_nNZsXm7f7ZlzaG4kdPn8I7ZHXqoQXCmHc,07OePkse2fcvU9wlVftNMl?si=LOVASFaNT8aJ1D0T2iMXeQ,se_so_neon,UCpltpdgUIrAlf5oPmHslyLQ,se_so_neon
53,선우정아,Sunwoojunga,184910,38921114,OLAK5uy_l7EFOc0LPxnNrBSpYmGalsgbRP8-0x-Ww,04L3elxyr0XFua2Ek3domW?si=X8AOUyCgTM-zLHfkpPGWgA,sunwoojunga_official,UC1vXYaW1fjBrncwFoOqHaaQ,sswwjjaa
54,설,SURL,2297355,80651043,OLAK5uy_lEMJ7G5Iv9gF9qBhBgukGy7mWTp3Uv7Yc,7owveHzN1hmQuw6Ojg4sI3?si=GTPt1dyyQm6lDqpZrPnwQQ,surlofficial,UClNvDZAwy0z1P2un18UxvCQ,surlofficial
55,세이수미,Say Sue Me,786496,80294871,OLAK5uy_l2FLiiC2uaKOc_Q_l-yJcTx7x8SP-GcMI,4tvbo17gXpYgSr8sTlkaby?si=uGtJOoscSXud4OgC4gYhmQ,saysueme,UC6T58HHVsuQdcjFf-2tgnDQ,SaySueMe
